date,country,confirmed,cases_per_million,recovered,deaths,new_confirmed,new_cases_per_million,new_deaths,new_recovered
2020-05-27,Cuba,1963.0,175.0,1709.0,82.0,16.0,1.0,0.0,5.0
2020-05-27,Estonia,1834.0,1381.0,1552.0,65.0,10.0,8.0,0.0,14.0
2020-05-27,Iceland,1804.0,4953.0,1792.0,10.0,0.0,0.0,0.0,1.0
2020-05-27,Somalia,1711.0,108.0,253.0,67.0,22.0,2.0,1.0,18.0
2020-05-27,Lithuania,1639.0,587.0,1165.0,65.0,0.0,0.0,0.0,0.0
2020-05-27,Mayotte,1587.0,6937.0,,20.0,0.0,0.0,0.0,
2020-05-27,Slovakia,1513.0,277.0,1322.0,28.0,2.0,0.0,0.0,15.0
2020-05-27,Slovenia,1469.0,702.0,1346.0,108.0,0.0,0.0,1.0,6.0
2020-05-27,Kyrgyzstan,1468.0,225.0,1015.0,16.0,0.0,0.0,0.0,0.0
2020-05-27,Maldives,1438.0,3837.0,197.0,5.0,43.0,115.0,1.0,53.0
2020-05-27,Kenya,1348.0,28.0,405.0,52.0,62.0,1.0,0.0,3.0
2020-05-27,Sri Lanka,1319.0,60.0,712.0,10.0,137.0,6.0,0.0,17.0
2020-05-27,Venezuela,1211.0,38.0,302.0,11.0,34.0,1.0,1.0,0.0
2020-05-27,Guinea-Bissau,1178.0,734.0,42.0,7.0,0.0,0.0,0.0,0.0
2020-05-27,New Zealand,1154.0,232.0,1461.0,21.0,0.0,0.0,0.0,0.0
2020-05-27,Lebanon,1140.0,167.0,689.0,26.0,21.0,3.0,0.0,1.0
2020-05-27,Mali,1077.0,54.0,617.0,70.0,18.0,1.0,3.0,13.0
2020-05-27,Hong Kong,1066.0,142.0,1033.0,4.0,0.0,0.0,0.0,3.0
2020-05-27,Haiti,1063.0,92.0,22.0,31.0,105.0,9.0,4.0,0.0
2020-05-27,Latvia,1053.0,552.0,741.0,22.0,4.0,2.0,0.0,29.0
2020-05-27,Tunisia,1051.0,90.0,919.0,48.0,0.0,0.0,0.0,2.0
2020-05-27,Equatorial Guinea,1043.0,768.0,165.0,12.0,0.0,0.0,0.0,0.0
2020-05-27,Kosovo,1038.0,578.0,791.0,30.0,6.0,3.0,1.0,6.0
2020-05-27,Albania,1029.0,362.0,803.0,33.0,25.0,9.0,1.0,8.0
2020-05-27,Costa Rica,956.0,189.0,634.0,10.0,5.0,1.0,0.0,6.0
2020-05-27,Niger,952.0,43.0,796.0,63.0,1.0,0.0,1.0,10.0
2020-05-27,Cyprus,939.0,1072.0,594.0,17.0,2.0,2.0,0.0,0.0
2020-05-27,Zambia,920.0,51.0,336.0,7.0,0.0,0.0,0.0,0.0
2020-05-27,Paraguay,877.0,123.0,382.0,11.0,12.0,2.0,0.0,38.0
2020-05-27,Burkina Faso,832.0,40.0,672.0,52.0,0.0,0.0,0.0,0.0
