"Country","Cases","New_cases","Deaths","New_deaths","Recovered","Last_update"
"St. Barthélemy","6","0","0","0","4",2020-04-30 21:24:00
"Burundi","5","0","1","0","4",2020-04-30 21:24:00
"Bhutan","5","0","0","0","2",2020-04-30 21:24:00
"British Virgin Islands","5","0","0","0","3",2020-04-30 21:24:00
"South Sudan","4","0","0","0","N/A",2020-04-30 21:24:00
"São Tomé and Príncipe","4","0","0","0","N/A",2020-04-30 21:24:00
"Anguilla","3","0","0","0","1",2020-04-30 21:24:00
"Yemen","1","0","0","0","N/A",2020-04-30 21:24:00
"TBD","","0","","0","",2020-04-30 21:24:00
"TOTAL","3045993","0","214583","0","791519",2020-04-30 21:24:00
