date,country,confirmed,cases_per_million,recovered,deaths,new_confirmed,new_cases_per_million,new_recovered,new_deaths
26/5/2020,Cyprus,937,1070,594,17,15,17,78,0
26/5/2020,Zambia,920,51,336,7,88,4,139,0
26/5/2020,Paraguay,865,121,344,11,32,5,102,0
26/5/2020,Burkina Faso,832,40,672,52,23,1,11,0
26/5/2020,South Sudan,806,63,6,8,516,40,2,4
26/5/2020,Uruguay,787,224,629,22,41,12,41,2
26/5/2020,Andorra,763,9840,663,51,1,13,24,0
26/5/2020,Sierra Leone,735,93,293,42,150,19,88,7
26/5/2020,Georgia,731,196,526,12,10,2,41,0
26/5/2020,Jordan,711,67,479,9,39,4,33,0
26/5/2020,Chad,687,42,244,61,122,7,67,4
26/5/2020,Nepal,682,23,112,4,255,9,67,2
26/5/2020,San Marino,666,19837,270,42,10,298,50,1
26/5/2020,Ethiopia,655,7,159,5,266,3,37,0
26/5/2020,Central African Republic,652,119,22,1,234,43,4,1
26/5/2020,Malta,611,1238,485,6,27,55,20,0
26/5/2020,Jamaica,552,202,211,9,32,11,84,0
26/5/2020,Madagascar,542,21,147,2,171,7,16,0
26/5/2020,Tanzania,509,9,183,21,0,0,0,0
26/5/2020,Republic of the Congo,487,88,1347,16,67,12,1215,1
26/5/2020,Taiwan,441,19,415,7,0,0,8,0
26/5/2020,Palestine,423,85,357,3,25,5,11,1
26/5/2020,Cape Verde,390,708,155,3,41,74,70,0
26/5/2020,Togo,386,51,161,13,46,6,51,1
26/5/2020,Isle of Man,336,4033,305,24,0,0,3,0
26/5/2020,Mauritius,334,264,322,10,2,2,0,0
26/5/2020,Rwanda,327,26,237,0,13,1,21,0
26/5/2020,Vietnam,326,3,272,0,2,0,9,0
26/5/2020,Montenegro,324,521,315,9,0,0,3,0
26/5/2020,Jersey,307,2875,280,29,1,10,24,0
26/5/2020,French Guiana,279,978,,1,69,242,,0
26/5/2020,Nicaragua,279,43,199,17,0,0,0,0
26/5/2020,Liberia,265,59,141,26,27,6,13,3
26/5/2020,Mauritania,262,64,15,9,121,29,9,5
26/5/2020,Eswatini,256,234,158,2,39,36,61,0
26/5/2020,Guernsey,252,4013,237,13,,,,
26/5/2020,Yemen,233,8,10,44,53,2,5,15
26/5/2020,Uganda,212,5,68,0,67,1,3,0
26/5/2020,Mozambique,209,7,71,1,53,2,23,1
26/5/2020,Myanmar (Burma),203,4,123,6,4,0,15,0
26/5/2020,Martinique,197,508,,14,5,13,,0
26/5/2020,Benin,191,16,84,3,61,5,27,1
26/5/2020,Faroe Islands,187,3588,187,0,0,0,0,0
26/5/2020,São Tomé and Príncipe,174,862,,9,8,39,,2
26/5/2020,Guadeloupe,156,384,,13,1,3,,0
26/5/2020,Gibraltar,154,4570,147,0,5,149,2,0
26/5/2020,Brunei,141,319,137,1,0,0,1,0
26/5/2020,Mongolia,141,43,32,0,1,1,8,0
26/5/2020,Guyana,137,175,62,11,13,17,15,1
26/5/2020,Cayman Islands,134,2036,61,1,23,349,6,0
26/5/2020,Bermuda,133,2077,89,9,8,125,11,0
26/5/2020,Cambodia,124,8,122,0,2,0,0,0
26/5/2020,Trinidad and Tobago,116,85,,8,0,0,,0
26/5/2020,Northern Cyprus,108,331,104,4,0,0,0,0
26/5/2020,Syria,106,6,41,4,48,3,5,1
26/5/2020,Malawi,101,5,37,4,29,1,10,1
26/5/2020,Aruba,101,899,95,3,0,0,0,0
26/5/2020,The Bahamas,100,260,46,11,3,8,2,0
26/5/2020,Monaco,98,2559,90,4,1,26,3,0
26/5/2020,Barbados,92,321,70,7,2,7,2,0
26/5/2020,Liechtenstein,82,2116,55,1,0,0,0,0
26/5/2020,Sint Maarten,77,1896,59,15,0,0,5,0
26/5/2020,Libya,75,11,39,3,6,1,4,0
26/5/2020,Angola,70,2,18,4,18,0,1,1
26/5/2020,French Polynesia,60,217,60,0,0,0,1,0
26/5/2020,Zimbabwe,56,4,25,4,8,1,7,0
26/5/2020,Macao,45,66,45,0,0,0,1,0
26/5/2020,Burundi,42,4,20,1,0,0,0,0
26/5/2020,Eritrea,39,11,39,0,0,0,1,0
26/5/2020,Saint Martin,39,1091,,3,0,0,,0
26/5/2020,Botswana,35,15,20,1,10,4,3,0
26/5/2020,Bhutan,27,36,6,0,6,8,0,0
26/5/2020,The Gambia,25,11,13,1,1,1,0,0
26/5/2020,Antigua and Barbuda,25,259,,3,0,0,,0
26/5/2020,Timor-Leste,24,17,24,0,0,0,3,0
26/5/2020,Grenada,23,205,18,0,1,9,4,0
26/5/2020,Namibia,21,9,14,0,3,2,0,0
26/5/2020,Laos,19,3,14,0,0,0,0,0
26/5/2020,Belize,18,44,16,2,0,0,0,0
26/5/2020,Fiji,18,20,15,0,0,0,0,0
26/5/2020,New Caledonia,18,64,18,0,0,0,0,0
26/5/2020,Saint Lucia,18,101,18,0,0,0,0,0
26/5/2020,Saint Vincent and the Grenadines,18,163,,0,1,9,,0
26/5/2020,Curaçao,18,113,14,1,2,12,0,0
26/5/2020,Dominica,16,223,16,0,0,0,0,0
26/5/2020,Saint Kitts and Nevis,15,284,,0,0,0,,0
26/5/2020,Falkland Islands (Islas Malvinas),13,,13,0,0,,0,0
26/5/2020,Greenland,12,214,11,0,1,18,0,0
26/5/2020,Vatican City,12,,2,0,0,,0,0
26/5/2020,Åland Islands,11,368,,,0,0,,
26/5/2020,Montserrat,11,,10,1,0,,0,0
26/5/2020,Suriname,11,19,9,1,0,0,0,0
