Country/Region,CountryCode,Confirmed,Deaths,Recovered,Latitude,Longitude,Last Update
US,,2,0,0,41.5978,-72.7554,2020-03-10T03:13:17
US,,2,0,0,21.0943,-157.4983,2020-03-10T03:13:17
US,,2,0,0,35.5653,-96.9289,2020-03-10T17:13:25
US,,2,0,0,40.15,-111.8624,2020-03-10T16:53:13
Andorra,,1,0,0,42.5063,1.5218,2020-03-02T20:23:16
Armenia,,1,0,0,40.0691,45.0382,2020-03-01T19:53:02
Australia,,1,0,0,-12.4634,130.8456,2020-03-10T14:13:14
Bhutan,,1,0,0,27.5142,90.4336,2020-03-06T15:43:02
Brunei,,1,0,0,4.5353,114.7277,2020-03-10T06:13:43
Burkina Faso,,1,0,0,12.2383,-1.5616,2020-03-10T05:33:02
Channel Islands,,1,0,0,49.3723,-2.3644,2020-03-10T05:33:02
Gibraltar,,1,0,1,36.1408,-5.3536,2020-03-10T08:33:03
Holy See,,1,0,0,41.9029,12.4534,2020-03-10T19:13:21
Jordan,,1,0,0,31.24,36.51,2020-03-03T15:33:02
Liechtenstein,,1,0,0,47.14,9.55,2020-03-04T01:33:07
Lithuania,,1,0,0,55.1694,23.8813,2020-02-28T16:23:03
Mainland China,,1,0,1,31.6927,88.0924,2020-02-12T06:43:02
Monaco,,1,0,0,43.7333,7.4167,2020-02-29T00:33:01
Mongolia,,1,0,0,46.8625,103.8467,2020-03-10T06:13:43
Nepal,,1,0,1,28.3949,84.124,2020-03-10T08:33:03
Panama,,1,0,0,8.538,-80.7821,2020-03-10T06:13:43
Paraguay,,1,0,0,-23.4425,-58.4438,2020-03-08T09:13:16
Saint Barthelemy,,1,0,0,17.9,-62.8333,2020-03-09T10:43:06
Sri Lanka,,1,0,1,7.8731,80.7718,2020-03-10T08:33:03
Togo,,1,0,0,8.6195,0.8248,2020-03-07T02:13:09
US,,1,0,0,38.5266,-96.7265,2020-03-10T03:13:17
US,,1,0,0,31.1695,-91.8678,2020-03-10T03:13:17
US,,1,0,0,38.4561,-92.2884,2020-03-10T03:13:17
US,,1,0,0,44.0459,-72.7107,2020-03-10T03:13:17
Ukraine,,1,0,0,48.3794,31.1656,2020-03-03T15:33:02
Australia,,0,0,0,35.4437,139.638,2020-02-29T02:03:10
US,,0,0,0,61.3707,-152.4044,2020-03-10T02:33:04
US,,0,0,0,34.9697,-92.3731,2020-03-10T02:33:04
US,,0,0,0,39.3185,-75.5071,2020-03-10T02:33:04
US,,0,0,0,44.2405,-114.4788,2020-03-10T02:33:04
US,,0,0,0,44.6939,-69.3819,2020-03-10T02:33:04
US,,0,0,0,43.3266,-84.5361,2020-03-10T02:33:04
US,,0,0,0,32.7416,-89.6787,2020-03-10T02:33:04
US,,0,0,0,46.9219,-110.4544,2020-03-10T02:33:04
US,,0,0,0,34.8405,-106.2485,2020-03-10T02:33:04
US,,0,0,0,47.5289,-99.784,2020-03-10T02:33:04
US,,0,0,0,44.2998,-99.4388,2020-03-10T02:33:04
US,,0,0,0,38.4912,-80.9545,2020-03-10T02:33:04
US,,0,0,0,42.756,-107.3025,2020-03-10T02:33:04
