Country,Cases,New_cases,Deaths,New_deaths,Recovered,Last_update
French Polynesia,55,0,0,0,N/A,5/4/2020 9:57
Zambia,52,0,2,0,30,5/4/2020 9:57
Guinea-Bissau,50,0,0,0,3,5/4/2020 9:57
Libya,49,0,1,0,11,5/4/2020 9:57
Macau,45,0,0,0,16,5/4/2020 9:57
Haiti,44,0,3,0,N/A,5/4/2020 9:57
Disputed territories,44,0,1,0,3,5/4/2020 9:57
Syria,38,0,2,0,5,5/4/2020 9:57
Benin,35,0,1,0,18,5/4/2020 9:57
Eritrea,35,0,0,0,0,5/4/2020 9:57
Mozambique,34,0,0,0,2,5/4/2020 9:57
Chad,33,0,0,0,8,5/4/2020 9:57
Sudan,32,0,5,0,3,5/4/2020 9:57
Mongolia,31,0,0,0,5,5/4/2020 9:57
Nepal,30,0,0,0,1,5/4/2020 9:57
Maldives,28,0,0,0,16,5/4/2020 9:57
Sierra Leone,26,0,0,0,0,5/4/2020 9:57
Zimbabwe,24,0,3,0,2,5/4/2020 9:57
Antigua and Barbuda,23,0,2,0,3,5/4/2020 9:57
Angola,19,0,2,0,2,5/4/2020 9:57
Eswatini,19,0,1,0,8,5/4/2020 9:57
Laos,19,0,0,0,2,5/4/2020 9:57
Belize,18,0,2,0,0,5/4/2020 9:57
New Caledonia,18,0,0,0,1,5/4/2020 9:57
Timor-Leste,18,0,0,0,1,5/4/2020 9:57
Malawi,17,0,2,0,N/A,5/4/2020 9:57
Fiji,17,0,0,0,0,5/4/2020 9:57
Namibia,16,0,0,0,3,5/4/2020 9:57
Botswana,15,0,1,0,N/A,5/4/2020 9:57
Curaçao,15,0,1,0,10,5/4/2020 9:57
Saint Lucia,15,0,0,0,11,5/4/2020 9:57
Grenada,14,0,0,0,0,5/4/2020 9:57
St. Kitts and Nevis,14,0,0,0,0,5/4/2020 9:57
Saint Vincent and the Grenadines,12,0,0,0,1,5/4/2020 9:57
Central African Republic,12,0,0,0,4,5/4/2020 9:57
Turks and Caicos Islands,11,0,1,0,0,5/4/2020 9:57
Greenland,11,0,0,0,11,5/4/2020 9:57
Seychelles,11,0,0,0,5,5/4/2020 9:57
Falkland Islands,11,0,0,0,2,5/4/2020 9:57
Montserrat,11,0,0,0,2,5/4/2020 9:57
Suriname,10,0,1,0,6,5/4/2020 9:57
Nicaragua,10,0,1,0,5,5/4/2020 9:57
The Gambia,10,0,1,0,2,5/4/2020 9:57
Vatican City,9,0,0,0,2,5/4/2020 9:57
Mauritania,7,0,1,0,2,5/4/2020 9:57
Papua New Guinea,7,0,0,0,1,5/4/2020 9:57
St. Barthélemy,6,0,0,0,4,5/4/2020 9:57
Burundi,5,0,1,0,4,5/4/2020 9:57
Bhutan,5,0,0,0,2,5/4/2020 9:57
British Virgin Islands,5,0,0,0,3,5/4/2020 9:57
South Sudan,4,0,0,0,N/A,5/4/2020 9:57
São Tomé and Príncipe,4,0,0,0,N/A,5/4/2020 9:57
Anguilla,3,0,0,0,1,5/4/2020 9:57
Yemen,1,0,0,0,N/A,5/4/2020 9:57
