"Country","Cases","New_cases","Deaths","New_deaths","Recovered","Last_update"
"South Africa","3300","0","58","4","1055",2020-04-28 09:57:37
"Morocco","3046","0","143","2","350",2020-04-28 09:57:37
"Bangladesh","2948","0","101","10","85",2020-04-28 09:57:37
"Argentina","2941","0","136","2","737",2020-04-28 09:57:37
"Thailand","2792","0","47","0","1999",2020-04-28 09:57:37
"Algeria","2718","0","384","9","1099",2020-04-28 09:57:37
"Moldova","2548","0","70","3","478",2020-04-28 09:57:37
"Greece","2245","0","116","3","269",2020-04-28 09:57:37
"Kuwait","1995","0","9","2","367",2020-04-28 09:57:37
"Hungary","1984","0","199","10","267",2020-04-28 09:57:37
"Bahrain","1907","0","7","0","773",2020-04-28 09:57:37
"Croatia","1881","0","47","0","771",2020-04-28 09:57:37
"Iceland","1773","0","10","1","1362",2020-04-28 09:57:37
"Kazakhstan","1711","0","19","0","401",2020-04-28 09:57:37
"Uzbekistan","1627","0","5","0","261",2020-04-28 09:57:37
"Iraq","1574","0","82","0","1043",2020-04-28 09:57:37
"Estonia","1535","0","40","0","165",2020-04-28 09:57:37
"New Zealand","1440","0","12","1","974",2020-04-28 09:57:37
"Azerbaijan","1436","0","19","0","791",2020-04-28 09:57:37
"Oman","1410","0","7","0","238",2020-04-28 09:57:37
"Slovenia","1335","0","77","3","120",2020-04-28 09:57:37
"Lithuania","1326","0","36","3","242",2020-04-28 09:57:37
"Bosnia","1309","0","49","1","381",2020-04-28 09:57:37
"Armenia","1248","0","20","0","523",2020-04-28 09:57:37
"North Macedonia","1225","0","54","3","200",2020-04-28 09:57:37
"Cameroon","1136","0","42","0","305",2020-04-28 09:57:37
"Slovakia","1089","0","11","0","213",2020-04-28 09:57:37
"Cuba","1087","0","36","2","285",2020-04-28 09:57:37
"Charles de Gaulle ship","1081","0","0","0","0",2020-04-28 09:57:37
"Afghanistan","1026","0","36","6","89",2020-04-28 09:57:37
"Hong Kong","1026","0","4","0","630",2020-04-28 09:57:37
"Bulgaria","915","0","43","1","167",2020-04-28 09:57:37
"Tunisia","866","0","37","0","42",2020-04-28 09:57:37
"Ghana","834","0","9","0","99",2020-04-28 09:57:37
"Ivory Coast","801","0","8","0","239",2020-04-28 09:57:37
"Cyprus","761","0","12","0","86",2020-04-28 09:57:37
"Latvia","739","0","5","0","88",2020-04-28 09:57:37
"Djibouti","732","0","2","0","76",2020-04-28 09:57:37
"Andorra","717","0","36","0","248",2020-04-28 09:57:37
"Diamond Princess","712","0","13","0","644",2020-04-28 09:57:37
"Lebanon","677","0","21","0","103",2020-04-28 09:57:37
"Nigeria","665","0","22","1","188",2020-04-28 09:57:37
"Costa Rica","662","0","6","1","124",2020-04-28 09:57:37
"Niger","639","0","19","0","113",2020-04-28 09:57:37
"Albania","584","0","26","0","327",2020-04-28 09:57:37
"Burkina Faso","565","0","36","0","321",2020-04-28 09:57:37
"Bolivia","564","0","33","1","31",2020-04-28 09:57:37
"Uruguay","528","0","10","0","298",2020-04-28 09:57:37
"Guinea","518","0","3","0","65",2020-04-28 09:57:37
"Kosovo","510","0","12","0","93",2020-04-28 09:57:37
"Kyrgyzstan","506","0","5","0","130",2020-04-28 09:57:37
"Honduras","477","0","46","0","15",2020-04-28 09:57:37
"San Marino","462","0","39","0","61",2020-04-28 09:57:37
"Malta","431","0","3","0","126",2020-04-28 09:57:37
"Taiwan","422","0","6","0","203",2020-04-28 09:57:37
"Jordan","413","0","7","0","269",2020-04-28 09:57:37
"Georgia","402","0","4","0","95",2020-04-28 09:57:37
"Senegal","377","0","5","1","235",2020-04-28 09:57:37
"DR Congo","327","0","25","0","26",2020-04-28 09:57:37
"Mauritius","325","0","9","0","180",2020-04-28 09:57:37
"Palestine","313","0","2","0","69",2020-04-28 09:57:37
"Montenegro","311","0","5","0","60",2020-04-28 09:57:37
"Sri Lanka","304","0","7","0","98",2020-04-28 09:57:37
"Isle of Man","300","0","9","3","200",2020-04-28 09:57:37
"Vietnam","268","0","0","0","201",2020-04-28 09:57:37
"Kenya","262","0","13","0","60",2020-04-28 09:57:37
"Jersey","245","0","12","0","N/A",2020-04-28 09:57:37
"Guernsey","239","0","9","0","73",2020-04-28 09:57:37
"Guatemala","235","0","7","0","21",2020-04-28 09:57:37
"Venezuela","227","0","9","0","117",2020-04-28 09:57:37
"El Salvador","218","0","7","0","46",2020-04-28 09:57:37
"Mali","216","0","13","0","41",2020-04-28 09:57:37
"Paraguay","208","0","8","0","46",2020-04-28 09:57:37
"Jamaica","163","0","5","0","26",2020-04-28 09:57:37
"Tanzania","147","0","5","0","11",2020-04-28 09:57:37
"Rwanda","147","0","0","0","80",2020-04-28 09:57:37
"Congo Republic","143","0","6","0","11",2020-04-28 09:57:37
"Brunei","138","0","1","0","116",2020-04-28 09:57:37
"Somalia","135","0","7","0","2",2020-04-28 09:57:37
"Gibraltar","132","0","0","0","120",2020-04-28 09:57:37
"Cambodia","122","0","0","0","103",2020-04-28 09:57:37
"Madagascar","117","0","0","0","33",2020-04-28 09:57:37
"Trinidad and Tobago","114","0","8","0","22",2020-04-28 09:57:37
"Northern Cyprus","108","0","4","0","81",2020-04-28 09:57:37
"Gabon","109","0","1","0","7",2020-04-28 09:57:37
"Ethiopia","105","0","3","0","16",2020-04-28 09:57:37
"Myanmar","98","0","5","0","5",2020-04-28 09:57:37
"Aruba","97","0","2","0","51",2020-04-28 09:57:37
"Monaco","94","0","1","0","20",2020-04-28 09:57:37
"Bermuda","83","0","5","0","35",2020-04-28 09:57:37
"Togo","83","0","5","0","48",2020-04-28 09:57:37
"Liechtenstein","80","0","1","0","55",2020-04-28 09:57:37
"Equatorial Guinea","79","0","0","0","4",2020-04-28 09:57:37
"Liberia","76","0","7","0","4",2020-04-28 09:57:37
"Barbados","75","0","5","0","15",2020-04-28 09:57:37
"Bahamas","64","0","9","0","11",2020-04-28 09:57:37
"Cayman Islands","61","0","1","0","7",2020-04-28 09:57:37
"Sint Maarten","57","0","9","0","12",2020-04-28 09:57:37
"Guyana","57","0","6","0","9",2020-04-28 09:57:37
"Cape Verde","56","0","1","0","1",2020-04-28 09:57:37
"Uganda","56","0","0","0","20",2020-04-28 09:57:37
"French Polynesia","55","0","0","0","N/A",2020-04-28 09:57:37
"Zambia","52","0","2","0","30",2020-04-28 09:57:37
"Guinea-Bissau","50","0","0","0","3",2020-04-28 09:57:37
"Libya","49","0","1","0","11",2020-04-28 09:57:37
"Macau","45","0","0","0","16",2020-04-28 09:57:37
"Haiti","44","0","3","0","N/A",2020-04-28 09:57:37
"Disputed territories","44","0","1","0","3",2020-04-28 09:57:37
"Syria","38","0","2","0","5",2020-04-28 09:57:37
"Benin","35","0","1","0","18",2020-04-28 09:57:37
"Eritrea","35","0","0","0","0",2020-04-28 09:57:37
"Mozambique","34","0","0","0","2",2020-04-28 09:57:37
"Chad","33","0","0","0","8",2020-04-28 09:57:37
"Sudan","32","0","5","0","3",2020-04-28 09:57:37
"Mongolia","31","0","0","0","5",2020-04-28 09:57:37
"Nepal","30","0","0","0","1",2020-04-28 09:57:37
"Maldives","28","0","0","0","16",2020-04-28 09:57:37
"Sierra Leone","26","0","0","0","0",2020-04-28 09:57:37
"Zimbabwe","24","0","3","0","2",2020-04-28 09:57:37
"Antigua and Barbuda","23","0","2","0","3",2020-04-28 09:57:37
"Angola","19","0","2","0","2",2020-04-28 09:57:37
"Eswatini","19","0","1","0","8",2020-04-28 09:57:37
"Laos","19","0","0","0","2",2020-04-28 09:57:37
"Belize","18","0","2","0","0",2020-04-28 09:57:37
"New Caledonia","18","0","0","0","1",2020-04-28 09:57:37
"Timor-Leste","18","0","0","0","1",2020-04-28 09:57:37
"Malawi","17","0","2","0","N/A",2020-04-28 09:57:37
"Fiji","17","0","0","0","0",2020-04-28 09:57:37
"Namibia","16","0","0","0","3",2020-04-28 09:57:37
"Botswana","15","0","1","0","N/A",2020-04-28 09:57:37
"Curaçao","15","0","1","0","10",2020-04-28 09:57:37
"Saint Lucia","15","0","0","0","11",2020-04-28 09:57:37
"Grenada","14","0","0","0","0",2020-04-28 09:57:37
"St. Kitts and Nevis","14","0","0","0","0",2020-04-28 09:57:37
"Saint Vincent and the Grenadines","12","0","0","0","1",2020-04-28 09:57:37
"Central African Republic","12","0","0","0","4",2020-04-28 09:57:37
"Turks and Caicos Islands","11","0","1","0","0",2020-04-28 09:57:37
"Greenland","11","0","0","0","11",2020-04-28 09:57:37
"Seychelles","11","0","0","0","5",2020-04-28 09:57:37
"Falkland Islands","11","0","0","0","2",2020-04-28 09:57:37
"Montserrat","11","0","0","0","2",2020-04-28 09:57:37
"Suriname","10","0","1","0","6",2020-04-28 09:57:37
"Nicaragua","10","0","1","0","5",2020-04-28 09:57:37
"The Gambia","10","0","1","0","2",2020-04-28 09:57:37
"Vatican City","9","0","0","0","2",2020-04-28 09:57:37
"Mauritania","7","0","1","0","2",2020-04-28 09:57:37
"Papua New Guinea","7","0","0","0","1",2020-04-28 09:57:37
"St. Barthélemy","6","0","0","0","4",2020-04-28 09:57:37
"Burundi","5","0","1","0","4",2020-04-28 09:57:37
"Bhutan","5","0","0","0","2",2020-04-28 09:57:37
"British Virgin Islands","5","0","0","0","3",2020-04-28 09:57:37
"South Sudan","4","0","0","0","N/A",2020-04-28 09:57:37
"São Tomé and Príncipe","4","0","0","0","N/A",2020-04-28 09:57:37
"Anguilla","3","0","0","0","1",2020-04-28 09:57:37
"Yemen","1","0","0","0","N/A",2020-04-28 09:57:37
"TBD","","0","","0","",2020-04-28 09:57:37
"TOTAL","2479498","0","170322","2758","612681",2020-04-28 09:57:37
