LastUpdate,CountryCode,Country,Confirmed,Deaths,Recovered,NewConfirmed,NewDeaths,NewRecovered
02/02/2020,AE,United Arab Emirates,5,0,0,1,0,0
02/02/2020,GB,United Kingdom,2,0,0,0,0,0
02/02/2020,US,United States of America,8,0,0,1,0,0
02/02/2020,VN,Viet0m,7,0,0,1,0,0
02/03/2020,AU,Australia,12,0,0,0,0,0
02/03/2020,KH,Cambodia,1,0,0,0,0,0
02/03/2020,CA,Ca0da,4,0,0,0,0,0
02/03/2020,CN,China,17238,361,0,2827,57,0
02/03/2020,FI,Finland,1,0,0,0,0,0
02/03/2020,FR,France,6,0,0,0,0,0
02/03/2020,DE,Germany,10,0,0,2,0,0
02/03/2020,IN,India,3,0,0,1,0,0
02/03/2020,IT,Italy,2,0,0,0,0,0
02/03/2020,JP,Japan,20,0,0,0,0,0
02/03/2020,MY,Malaysia,8,0,0,0,0,0
02/03/2020,NP,Nepal,1,0,0,0,0,0
02/03/2020,PH,Philippines,2,1,0,0,0,0
02/03/2020,KR,Republic of Korea,15,0,0,0,0,0
02/03/2020,RU,Russian Federation,2,0,0,0,0,0
02/03/2020,SG,Singapore,18,0,0,0,0,0
02/03/2020,ES,Spain,1,0,0,0,0,0
02/03/2020,LK,Sri Lanka,1,0,0,0,0,0
02/03/2020,SE,Sweden,1,0,0,0,0,0
02/03/2020,TH,Thailand,19,0,0,0,0,0
02/03/2020,AE,United Arab Emirates,5,0,0,0,0,0
02/03/2020,GB,United Kingdom,2,0,0,0,0,0
02/03/2020,US,United States of America,11,0,0,3,0,0
02/03/2020,VN,Viet0m,8,0,0,1,0,0
02/04/2020,AU,Australia,12,0,0,0,0,0
02/04/2020,KH,Cambodia,1,0,0,0,0,0
02/04/2020,CA,Ca0da,4,0,0,0,0,0
02/04/2020,CN,China,20471,425,0,3233,64,0
02/04/2020,FI,Finland,1,0,0,0,0,0
02/04/2020,FR,France,6,0,0,0,0,0
02/04/2020,DE,Germany,12,0,0,2,0,0
02/04/2020,IN,India,3,0,0,0,0,0
02/04/2020,IT,Italy,2,0,0,0,0,0
02/04/2020,JP,Japan,20,0,0,0,0,0
02/04/2020,MY,Malaysia,10,0,0,2,0,0
02/04/2020,NP,Nepal,1,0,0,0,0,0
02/04/2020,PH,Philippines,2,1,0,0,0,0
02/04/2020,KR,Republic of Korea,16,0,0,1,0,0
02/04/2020,RU,Russian Federation,2,0,0,0,0,0
02/04/2020,SG,Singapore,18,0,0,0,0,0
02/04/2020,ES,Spain,1,0,0,0,0,0
02/04/2020,LK,Sri Lanka,1,0,0,0,0,0
02/04/2020,SE,Sweden,1,0,0,0,0,0
02/04/2020,TH,Thailand,19,0,0,0,0,0
02/04/2020,AE,United Arab Emirates,5,0,0,0,0,0
02/04/2020,GB,United Kingdom,2,0,0,0,0,0
02/04/2020,US,United States of America,11,0,0,0,0,0
02/04/2020,VN,Viet0m,9,0,0,1,0,0
02/05/2020,AU,Australia,13,0,0,1,0,0
02/05/2020,BE,Belgium,1,0,0,0,0,0
02/05/2020,KH,Cambodia,1,0,0,0,0,0
02/05/2020,CA,Ca0da,5,0,0,1,0,0
02/05/2020,CN,China,24363,491,0,3892,66,0
02/05/2020,FI,Finland,1,0,0,0,0,0
02/05/2020,FR,France,6,0,0,0,0,0
02/05/2020,DE,Germany,12,0,0,0,0,0
02/05/2020,IN,India,3,0,0,0,0,0
02/05/2020,IT,Italy,2,0,0,0,0,0
02/05/2020,JP,Japan,33,0,0,13,0,0
02/05/2020,MY,Malaysia,10,0,0,0,0,0
02/05/2020,NP,Nepal,1,0,0,0,0,0
02/05/2020,PH,Philippines,3,1,0,1,0,0
02/05/2020,KR,Republic of Korea,18,0,0,2,0,0
02/05/2020,RU,Russian Federation,2,0,0,0,0,0
02/05/2020,SG,Singapore,24,0,0,6,0,0
02/05/2020,ES,Spain,1,0,0,0,0,0
02/05/2020,LK,Sri Lanka,1,0,0,0,0,0
02/05/2020,SE,Sweden,1,0,0,0,0,0
02/05/2020,TH,Thailand,25,0,0,6,0,0
02/05/2020,AE,United Arab Emirates,5,0,0,0,0,0
02/05/2020,GB,United Kingdom,2,0,0,0,0,0
02/05/2020,US,United States of America,11,0,0,0,0,0
02/05/2020,VN,Viet0m,10,0,0,1,0,0
02/06/2020,AU,Australia,14,0,0,1,0,0
02/06/2020,BE,Belgium,1,0,0,0,0,0
02/06/2020,KH,Cambodia,1,0,0,0,0,0
02/06/2020,CA,Ca0da,5,0,0,0,0,0
02/06/2020,CN,China,28060,564,0,3697,73,0
02/06/2020,FI,Finland,1,0,0,0,0,0
02/06/2020,FR,France,6,0,0,0,0,0
02/06/2020,DE,Germany,12,0,0,0,0,0
02/06/2020,IN,India,3,0,0,0,0,0
02/06/2020,IT,Italy,2,0,0,0,0,0
02/06/2020,JP,Japan,25,0,0,-8,0,0
02/06/2020,MY,Malaysia,12,0,0,2,0,0
02/06/2020,NP,Nepal,1,0,0,0,0,0
02/06/2020,PH,Philippines,3,0,0,0,0,0
02/06/2020,KR,Republic of Korea,23,0,0,5,0,0
02/06/2020,RU,Russian Federation,2,0,0,0,0,0
02/06/2020,SG,Singapore,28,0,0,4,0,0
02/06/2020,ES,Spain,1,0,0,0,0,0
02/06/2020,LK,Sri Lanka,1,0,0,0,0,0
02/06/2020,SE,Sweden,1,0,0,0,0,0
02/06/2020,TH,Thailand,25,0,0,0,0,0
02/06/2020,GB,The United Kingdom,2,0,0,0,0,0
02/06/2020,AE,United Arab Emirates,5,0,0,0,0,0
02/06/2020,US,United States of America,12,0,0,1,0,0
02/06/2020,VN,Viet0m,10,0,0,0,0,0
02/07/2020,AU,Australia,15,0,0,1,0,0
02/07/2020,BE,Belgium,1,0,0,0,0,0
02/07/2020,KH,Cambodia,1,0,0,0,0,0
02/07/2020,CA,Ca0da,7,0,0,2,0,0
02/07/2020,CN,China,31211,637,0,3151,73,0
02/07/2020,FI,Finland,1,0,0,0,0,0
02/07/2020,FR,France,6,0,0,0,0,0
02/07/2020,DE,Germany,13,0,0,1,0,0
02/07/2020,IN,India,3,0,0,0,0,0
02/07/2020,Ship,Inter0tio0l conveyance (Japan),61,0,0,0,0,0
02/07/2020,IT,Italy,3,0,0,1,0,0
02/07/2020,JP,Japan,25,0,0,0,0,0
02/07/2020,MY,Malaysia,14,0,0,2,0,0
02/07/2020,NP,Nepal,1,0,0,0,0,0
02/07/2020,PH,Philippines,3,1,0,0,0,0
02/07/2020,KR,Republic of Korea,24,0,0,1,0,0
02/07/2020,RU,Russian Federation,2,0,0,0,0,0
02/07/2020,SG,Singapore,30,0,0,2,0,0
02/07/2020,ES,Spain,1,0,0,0,0,0
02/07/2020,LK,Sri Lanka,1,0,0,0,0,0
02/07/2020,SE,Sweden,1,0,0,0,0,0
02/07/2020,TH,Thailand,25,0,0,0,0,0
02/07/2020,GB,The United Kingdom,3,0,0,1,0,0
02/07/2020,AE,United Arab Emirates,5,0,0,0,0,0
02/07/2020,US,United States of America,12,0,0,0,0,0
02/07/2020,VN,Viet0m,12,0,0,2,0,0
02/08/2020,AU,Australia,15,0,0,0,0,0
02/08/2020,BE,Belgium,1,0,0,0,0,0
02/08/2020,KH,Cambodia,1,0,0,0,0,0
02/08/2020,CA,Ca0da,7,0,0,0,0,0
02/08/2020,CN,China,34598,723,0,3387,86,0
02/08/2020,FI,Finland,1,0,0,0,0,0
02/08/2020,FR,France,6,0,0,0,0,0
02/08/2020,DE,Germany,14,0,0,1,0,0
02/08/2020,IN,India,3,0,0,0,0,0
02/08/2020,Ship,Inter0tio0l conveyance (Japan),64,0,0,3,0,0
02/08/2020,IT,Italy,3,0,0,0,0,0
02/08/2020,JP,Japan,25,0,0,0,0,0
02/08/2020,MY,Malaysia,15,0,0,1,0,0
02/08/2020,NP,Nepal,1,0,0,0,0,0
02/08/2020,PH,Philippines,3,1,0,0,0,0
02/08/2020,KR,Republic of Korea,24,0,0,0,0,0
02/08/2020,RU,Russian Federation,2,0,0,0,0,0
02/08/2020,SG,Singapore,33,0,0,3,0,0
02/08/2020,ES,Spain,1,0,0,0,0,0
02/08/2020,LK,Sri Lanka,1,0,0,0,0,0
02/08/2020,SE,Sweden,1,0,0,0,0,0
02/08/2020,TH,Thailand,32,0,0,7,0,0
02/08/2020,GB,The United Kingdom,3,0,0,0,0,0
02/08/2020,AE,United Arab Emirates,7,0,0,2,0,0
02/08/2020,US,United States of America,12,0,0,0,0,0
02/08/2020,VN,Viet0m,13,0,0,1,0,0
02/09/2020,AU,Australia,15,0,0,0,0,0
02/09/2020,BE,Belgium,1,0,0,0,0,0
02/09/2020,KH,Cambodia,1,0,0,0,0,0
02/09/2020,CA,Ca0da,7,0,0,0,0,0
02/09/2020,CN,China,37251,812,0,2653,89,0
02/09/2020,FI,Finland,1,0,0,0,0,0
02/09/2020,FR,France,11,0,0,5,0,0
02/09/2020,DE,Germany,14,0,0,0,0,0
02/09/2020,IN,India,3,0,0,0,0,0
02/09/2020,Ship,Inter0tio0l conveyance (Japan),64,0,0,0,0,0
02/09/2020,IT,Italy,3,0,0,0,0,0
02/09/2020,JP,Japan,26,0,0,1,0,0
02/09/2020,MY,Malaysia,17,0,0,2,0,0
02/09/2020,NP,Nepal,1,0,0,0,0,0
02/09/2020,PH,Philippines,3,1,0,0,0,0
02/09/2020,KR,Republic of Korea,27,0,0,3,0,0
02/09/2020,RU,Russian Federation,2,0,0,0,0,0
02/09/2020,SG,Singapore,40,0,0,7,0,0
02/09/2020,ES,Spain,1,0,0,0,0,0
02/09/2020,LK,Sri Lanka,1,0,0,0,0,0
02/09/2020,SE,Sweden,1,0,0,0,0,0
02/09/2020,TH,Thailand,32,0,0,0,0,0
02/09/2020,GB,The United Kingdom,3,0,0,0,0,0
02/09/2020,AE,United Arab Emirates,7,0,0,0,0,0
02/09/2020,US,United States of America,12,0,0,0,0,0
02/09/2020,VN,Viet0m,14,0,0,1,0,0
02/10/2020,AU,Australia,15,0,0,0,0,0
02/10/2020,BE,Belgium,1,0,0,0,0,0
02/10/2020,KH,Cambodia,1,0,0,0,0,0
02/10/2020,CA,Ca0da,7,0,0,0,0,0
